Date,Close,High,Low,Open,Volume
2020-01-02,298.5787048339844,298.59710421158724,296.4280812418252,297.35635228015616,59151200
2020-01-03,296.3177795410156,297.4482473309102,295.1137983885776,295.1689404224427,77709700
2020-01-06,297.4482116699219,297.53092471080305,294.43363125828694,294.55311499994644,55653900
2020-01-07,296.61187744140625,297.356322917187,296.1615134520832,296.8783879120139,40496400
2020-01-08,298.1927185058594,299.415071092202,296.5567725820942,296.80491175584825,68296000
2020-01-09,300.2145690917969,300.2881104865505,299.1760142615381,299.76423322827105,48473300
2020-01-10,299.35064697265625,300.95902143443385,298.881939773459,300.80279505064306,53029300
2020-01-13,301.409423828125,301.418595467985,299.5437103362365,299.9756749401628,47086800
2020-01-14,300.949951171875,302.02524903889974,300.38930301433004,300.96832250326685,62832800
2020-01-15,301.6300048828125,302.39282170228535,300.7752753260005,300.85798837525687,72056600
2020-01-16,304.1390075683594,304.1390075683594,302.78797198801493,303.01773975305434,54050300
2020-01-17,305.0856628417969,305.297031244174,304.07467902230604,304.8558950668137,95846000
2020-01-21,304.48822021484375,305.2970072067569,304.0470840722161,304.1205974133801,77742400
2020-01-22,304.5250549316406,306.004774181987,304.36882853088946,305.3522134207883,48914900
2020-01-23,304.8743591308594,305.2879524707691,302.7513064880326,303.8725746929403,51963000
2020-01-24,302.1630554199219,305.61877241707987,300.8671615459876,305.53605936740274,87578400
2020-01-27,297.3194885253906,298.80837915802067,296.54747219913145,296.88752400438364,84062500
2020-01-28,300.4351501464844,301.31745050446847,297.4113985270296,298.75323441177113,63834000
2020-01-29,300.1871032714844,302.03444580442965,299.9849064367947,301.804677949002,53888900
2020-01-30,301.1612548828125,301.37265136361,297.35631456325456,298.10993165792723,75491800
2020-01-31,295.6927490234375,300.6924979485136,294.7736779423253,300.53624352368223,113845600
2020-02-03,297.88934326171875,299.76425630272183,297.06218481792587,297.1816685577298,69083000
2020-02-04,302.4295349121094,303.302663679097,301.19798299981704,301.5196634954348,62573200
2020-02-05,305.9219970703125,306.1333935234226,303.90925713776153,305.3797484796294,65951100
2020-02-06,306.9514465332031,307.14444365511315,305.8669210699136,306.88710480995627,50359700
2020-02-07,305.3154602050781,306.96057743895364,304.76401188211247,305.8852798546061,64139400
2020-02-10,307.59466552734375,307.6590072267246,304.3871168171458,304.4238875093377,42070000
2020-02-11,308.1278076171875,309.74535379435173,307.5947306349402,308.95496605575715,54864500
2020-02-12,310.1130065917969,310.32437501033536,309.2031070607716,309.5707299192885,43992700
2020-02-13,309.7821960449219,310.75640946058047,308.40358897961266,308.6792991735415,54501900
2020-02-14,310.2784118652344,310.3978955970013,308.9917179227911,310.19569883120136,64582200
2020-02-18,309.4787902832031,310.3427192736057,308.0817844019626,309.27659353975105,57226200
2020-02-19,310.95849609375,311.6385996963271,310.1681084526818,310.45301823472477,48814700
2020-02-20,309.6810302734375,311.2342627359956,306.6756497102531,310.4070762759255,74163400
2020-02-21,306.4919128417969,308.6333366690219,305.6647262183634,308.3208557870311,113788200
2020-02-24,296.32696533203125,306.5654044917158,295.24243993861,296.9886977552083,161088400
2020-02-25,287.3476257324219,298.3397102214259,286.4653251703709,297.72394817993217,218913200
2020-02-26,286.2906799316406,292.36572712469683,285.5554341878652,288.7537840258982,194773800
2020-02-27,273.43292236328125,286.34586342508396,273.43292236328125,280.73952266151736,284353500
2020-02-28,272.2839660644531,273.7820561865311,262.4315244510947,265.3357919915502,384975800
2020-03-02,284.0757751464844,284.140116875848,270.6297561011494,274.07627384491605,238703600
2020-03-03,275.9419860839844,288.4413626394821,273.48808117123883,284.4525961592411,300139100
2020-03-04,287.5406494140625,287.76124561083054,278.78190056084946,281.34611748356053,176613400
2020-03-05,277.9822998046875,283.50592733790194,275.73059193007856,280.29837745012924,186366800
2020-03-06,273.3869323730469,274.6001131820452,266.7420650354268,269.42573743951846,228667200
2020-03-09,252.03689575195312,261.19083670475067,251.32002136494776,253.02028058245492,309417300
2020-03-10,265.0784606933594,265.17034535182074,251.36590952208283,261.60437355935454,276444100
2020-03-11,252.15638732910156,259.1229634601604,248.95803716936013,257.98332402832887,255316300
2020-03-12,228.03074645996094,245.07951931200697,227.63553856804782,235.28221736385123,392220700
2020-03-13,247.52423095703125,249.50942786326908,228.40754961411017,241.79840800920877,329566100
2020-03-16,220.439208984375,236.1093600230753,218.15071689635337,221.66156120655316,297240000
2020-03-17,232.34120178222656,235.43848125738805,217.8842157567262,225.2092003066649,262070500
2020-03-18,220.5770721435547,228.26969304690914,209.5666038857511,217.13055539131165,327597100
2020-03-19,221.0458221435547,227.35985119172935,213.4267276221181,219.88779741268638,289322000
2020-03-20,211.51998901367188,226.00651784378636,211.24264355315836,224.21303318635862,347158800
2020-03-23,206.11181640625,212.33353276775054,201.77602391744185,210.95607325737478,326025200
